행정기관코드,기준연월,시도명,시군구명,읍면동명,0~9세_남자,0~9세_여자,10~19세_남자,10~19세_여자,20~29세_남자,20~29세_여자,30~39세_남자,30~39세_여자,40~49세_남자,40~49세_여자,50~59세_남자,50~59세_여자,60~69세_남자,60~69세_여자,70~79세_남자,70~79세_여자,80~89세_남자,80~89세_여자,90~99세_남자,90~99세_여자,100세 이상_남자,100세 이상_여자,총인구수,남자총합,여자총합
1111051500,2025-04-30,서울특별시,종로구,청운효자동,276,255,518,507,631,665,699,815,755,994,869,1037,631,779,370,544,234,337,27,68,1,0,11012,5011,6001
1111053000,2025-04-30,서울특별시,종로구,사직동,192,199,270,356,435,592,631,798,587,799,668,789,590,681,301,427,218,289,39,69,1,0,8931,3932,4999
1111054000,2025-04-30,서울특별시,종로구,삼청동,38,42,90,63,118,109,123,154,148,150,152,176,177,191,123,136,60,88,10,22,0,0,2170,1039,1131
1111055000,2025-04-30,서울특별시,종로구,부암동,181,173,419,351,520,508,588,620,599,726,721,886,630,755,362,448,190,258,23,63,0,1,9022,4233,4789
1111056000,2025-04-30,서울특별시,종로구,평창동,490,424,738,770,926,958,972,1065,1062,1334,1376,1700,1341,1492,699,822,335,505,55,133,2,3,17202,7996,9206
1111057000,2025-04-30,서울특별시,종로구,무악동,220,269,378,508,357,440,391,419,565,663,720,691,519,607,274,358,143,238,21,34,0,0,7815,3588,4227
1111058000,2025-04-30,서울특별시,종로구,교남동,324,337,358,394,490,563,624,771,764,882,797,843,521,650,319,444,150,230,14,38,0,0,9513,4361,5152
1111060000,2025-04-30,서울특별시,종로구,가회동,89,57,150,142,167,195,245,263,263,313,316,346,260,291,159,209,80,148,11,26,0,2,3732,1740,1992
1111061500,2025-04-30,서울특별시,종로구,종로1.2.3.4가동,78,65,108,112,458,475,615,420,493,323,722,339,876,410,472,286,191,190,22,33,0,0,6688,4035,2653
1111063000,2025-04-30,서울특별시,종로구,종로5.6가동,71,65,80,104,462,597,539,438,325,240,453,343,469,340,227,227,120,140,13,22,0,0,5275,2759,2516
1111064000,2025-04-30,서울특별시,종로구,이화동,71,82,167,160,669,910,618,618,394,397,487,506,454,491,259,342,133,215,15,41,0,0,7029,3267,3762
1111065000,2025-04-30,서울특별시,종로구,혜화동,227,222,608,606,2096,2171,1048,956,883,933,1094,1201,817,909,467,670,304,469,34,83,0,1,15799,7578,8221
1111067000,2025-04-30,서울특별시,종로구,창신제1동,53,51,78,74,277,266,324,274,255,201,404,374,592,441,262,262,103,165,7,21,0,0,4484,2355,2129
1111068000,2025-04-30,서울특별시,종로구,창신제2동,70,67,155,140,435,396,525,376,409,320,797,750,813,750,373,430,137,269,22,33,0,0,7267,3736,3531
1111069000,2025-04-30,서울특별시,종로구,창신제3동,131,124,191,203,378,352,470,442,391,370,527,602,554,540,259,306,106,190,22,28,1,0,6187,3030,3157
1111070000,2025-04-30,서울특별시,종로구,숭인제1동,81,83,164,162,332,368,410,391,393,376,523,530,492,515,260,305,103,192,7,38,0,2,5727,2765,2962
